"customer_id","customer_name","segment","country","city","state","postal_code","region"
"LH-17020","Lisa Hazard","Consumer","United States","Columbus","Ohio","43229","East"
"SP-20650","Stephanie Phelps","Corporate","United States","Wilmington","North Carolina","28403","South"
"GZ-14470","Gary Zandusky","Consumer","United States","Bullhead City","Arizona","86442","West"
"KN-16450","Kean Nguyen","Corporate","United States","Redondo Beach","California","90278","West"
"AB-10255","Alejandro Ballentine","Home Office","United States","Seattle","Washington","98103","West"
"TB-21625","Trudy Brown","Consumer","United States","Grand Prairie","Texas","75051","Central"
"MC-17845","Michael Chen","Consumer","United States","North Las Vegas","Nevada","89031","West"
"JO-15550","Jesus Ocampo","Home Office","United States","Seattle","Washington","98105","West"
"JE-15715","Joe Elijah","Consumer","United States","Los Angeles","California","90049","West"
"MG-17890","Michael Granlund","Home Office","United States","Baltimore","Maryland","21215","East"
"CC-12220","Chris Cortes","Consumer","United States","Philadelphia","Pennsylvania","19143","East"
"PG-18820","Patrick Gardner","Consumer","United States","San Francisco","California","94110","West"
"EH-13990","Erica Hackney","Consumer","United States","Houston","Texas","77041","Central"
"KH-16360","Katherine Hughes","Consumer","United States","Dover","Delaware","19901","East"
"VS-21820","Vivek Sundaresam","Consumer","United States","Naperville","Illinois","60540","Central"
"KL-16645","Ken Lonsdale","Consumer","United States","Detroit","Michigan","48205","Central"
"JF-15190","Jamie Frazer","Consumer","United States","Philadelphia","Pennsylvania","19134","East"
"VF-21715","Vicky Freymann","Home Office","United States","Columbus","Indiana","47201","Central"
"CY-12745","Craig Yedwab","Corporate","United States","Springfield","Ohio","45503","East"
"SC-20440","Shaun Chance","Corporate","United States","New Bedford","Massachusetts","2740","East"
"EH-13765","Edward Hooks","Corporate","United States","San Francisco","California","94109","West"
"EB-13840","Ellis Ballard","Corporate","United States","Seattle","Washington","98105","West"
"SW-20455","Shaun Weien","Consumer","United States","Tampa","Florida","33614","South"
"HW-14935","Helen Wasserman","Corporate","United States","San Diego","California","92105","West"
"PO-18865","Patrick O'Donnell","Consumer","United States","Westland","Michigan","48185","Central"
"DB-13555","Dorothy Badders","Corporate","United States","Dublin","Ohio","43017","East"
"RA-19285","Ralph Arnett","Consumer","United States","Philadelphia","Pennsylvania","19120","East"
"DL-13315","Delfina Latchford","Consumer","United States","New York City","New York","10024","East"
"VM-21685","Valerie Mitchum","Home Office","United States","Westfield","New Jersey","7090","East"
"BF-11215","Benjamin Farhat","Home Office","United States","New York City","New York","10035","East"
"TB-21055","Ted Butterfield","Consumer","United States","Fairfield","Ohio","45014","East"
"BB-11545","Brenda Bowman","Corporate","United States","Oakland","California","94601","West"
"AC-10615","Ann Chong","Corporate","United States","Philadelphia","Pennsylvania","19143","East"
"LC-16870","Lena Cacioppo","Consumer","United States","San Francisco","California","94109","West"
"EJ-14155","Eva Jacobs","Consumer","United States","Gulfport","Mississippi","39503","South"
"MF-17665","Maureen Fritzler","Corporate","United States","Toledo","Ohio","43615","East"
"MF-18250","Monica Federle","Corporate","United States","Houston","Texas","77095","Central"
"DJ-13510","Don Jones","Corporate","United States","San Diego","California","92037","West"
"DK-12835","Damala Kotsonis","Corporate","United States","Fremont","Nebraska","68025","Central"
"KH-16510","Keith Herrera","Consumer","United States","Dallas","Texas","75081","Central"
"WB-21850","William Brown","Consumer","United States","Urbandale","Iowa","50322","Central"
"LA-16780","Laura Armstrong","Corporate","United States","Austin","Texas","78745","Central"
"SD-20485","Shirley Daniels","Home Office","United States","Philadelphia","Pennsylvania","19143","East"
"MG-18205","Mitch Gastineau","Corporate","United States","Jacksonville","Florida","32216","South"
"SF-20200","Sarah Foster","Consumer","United States","Murray","Utah","84107","West"
"JB-16045","Julia Barnett","Home Office","United States","Danbury","Connecticut","6810","East"
"ME-17320","Maria Etezadi","Home Office","United States","Santa Barbara","California","93101","West"
"AA-10375","Allen Armold","Consumer","United States","Providence","Rhode Island","2908","East"
"MN-17935","Michael Nguyen","Consumer","United States","New York City","New York","10009","East"
"SC-20695","Steve Chapman","Corporate","United States","Roseville","Michigan","48066","Central"
"LR-17035","Lisa Ryan","Corporate","United States","Long Beach","New York","11561","East"
"AH-10120","Adrian Hane","Home Office","United States","San Francisco","California","94110","West"
"JL-15130","Jack Lebron","Consumer","United States","Riverside","California","92503","West"
"NG-18355","Nat Gilpin","Corporate","United States","Jackson","Michigan","49201","Central"
"GM-14500","Gene McClure","Consumer","United States","Philadelphia","Pennsylvania","19140","East"
"PL-18925","Paul Lucas","Home Office","United States","Chicago","Illinois","60610","Central"
"DP-13165","David Philippe","Consumer","United States","New York City","New York","10035","East"
"LP-17095","Liz Preis","Consumer","United States","Aurora","Illinois","60505","Central"
"DK-13090","Dave Kipp","Consumer","United States","Clinton","Maryland","20735","East"
"MH-17620","Matt Hagelstein","Corporate","United States","Cincinnati","Ohio","45231","East"
"KD-16345","Katherine Ducich","Consumer","United States","New York City","New York","10035","East"
"NP-18700","Nora Preis","Consumer","United States","Bowling Green","Ohio","43402","East"
"PF-19225","Phillip Flathmann","Consumer","United States","Edmonds","Washington","98026","West"
"CW-11905","Carl Weiss","Home Office","United States","Newark","Delaware","19711","East"
"VG-21790","Vivek Gonzalez","Consumer","United States","San Diego","California","92037","West"
"JB-15925","Joni Blumstein","Consumer","United States","Los Angeles","California","90032","West"
"LS-16945","Linda Southworth","Corporate","United States","San Francisco","California","94110","West"
"JO-15550","Jesus Ocampo","Home Office","United States","San Francisco","California","94109","West"
"FC-14245","Frank Carlisle","Home Office","United States","Hialeah","Florida","33012","South"
"AA-10480","Andrew Allen","Consumer","United States","Middletown","Connecticut","6457","East"
"GK-14620","Grace Kelly","Corporate","United States","Plano","Texas","75023","Central"
"AJ-10945","Ashley Jarboe","Consumer","United States","San Francisco","California","94110","West"
"KN-16705","Kristina Nunn","Home Office","United States","Seattle","Washington","98105","West"
"CL-12565","Clay Ludtke","Consumer","United States","Urbandale","Iowa","50322","Central"
"JB-15400","Jennifer Braxton","Corporate","United States","Rockford","Illinois","61107","Central"
"AM-10705","Anne McFarland","Consumer","United States","Auburn","Alabama","36830","South"
"AH-10195","Alan Haines","Corporate","United States","Chicago","Illinois","60623","Central"
"KE-16420","Katrina Edelman","Corporate","United States","Dallas","Texas","75220","Central"
"LA-16780","Laura Armstrong","Corporate","United States","Tinley Park","Illinois","60477","Central"
"JE-15745","Joel Eaton","Consumer","United States","Fayetteville","Arkansas","72701","South"
"DS-13180","David Smith","Corporate","United States","San Francisco","California","94122","West"
"DC-12850","Dan Campbell","Consumer","United States","North Miami","Florida","33161","South"
"AC-10450","Amy Cox","Consumer","United States","Minneapolis","Minnesota","55407","Central"
"ND-18460","Neil Ducich","Corporate","United States","Chandler","Arizona","85224","West"
"DW-13585","Dorothy Wardle","Corporate","United States","Owensboro","Kentucky","42301","South"
"AW-10930","Arthur Wiediger","Home Office","United States","Aurora","Illinois","60505","Central"
"AB-10015","Aaron Bergman","Consumer","United States","Seattle","Washington","98103","West"
"NC-18535","Nick Crebassa","Corporate","United States","Seattle","Washington","98105","West"
"RF-19735","Roland Fjeld","Consumer","United States","Oklahoma City","Oklahoma","73120","Central"
"NW-18400","Natalie Webber","Consumer","United States","Tigard","Oregon","97224","West"
"AI-10855","Arianne Irving","Consumer","United States","Los Angeles","California","90036","West"
"SC-20575","Sonia Cooley","Consumer","United States","Chicago","Illinois","60653","Central"
"MT-17815","Meg Tillman","Consumer","United States","Jackson","Mississippi","39212","South"
"JG-15160","James Galang","Consumer","United States","New York City","New York","10024","East"
"GA-14515","George Ashbrook","Consumer","United States","San Francisco","California","94122","West"
"CP-12340","Christine Phan","Corporate","United States","New York City","New York","10009","East"
"PN-18775","Parhena Norris","Home Office","United States","Columbia","South Carolina","29203","South"
"NC-18625","Noah Childs","Corporate","United States","Houston","Texas","77095","Central"
"AB-10255","Alejandro Ballentine","Home Office","United States","Jackson","Mississippi","39212","South"
"DW-13480","Dianna Wilson","Home Office","United States","Lakeville","Minnesota","55044","Central"
"RF-19840","Roy Französisch","Consumer","United States","New York City","New York","10024","East"
"PS-18760","Pamela Stobb","Consumer","United States","Philadelphia","Pennsylvania","19140","East"
"VG-21805","Vivek Grady","Corporate","United States","Philadelphia","Pennsylvania","19140","East"
"KL-16645","Ken Lonsdale","Consumer","United States","New York City","New York","10035","East"
"CD-12280","Christina DeMoss","Consumer","United States","Seattle","Washington","98105","West"
"LH-16750","Larry Hughes","Consumer","United States","Philadelphia","Pennsylvania","19140","East"
"LP-17095","Liz Preis","Consumer","United States","Visalia","California","93277","West"
"SZ-20035","Sam Zeldin","Home Office","United States","Canton","Michigan","48187","Central"
"KB-16600","Ken Brennan","Corporate","United States","Houston","Texas","77041","Central"
"MG-17650","Matthew Grinstein","Home Office","United States","Seattle","Washington","98103","West"
"DB-13270","Deborah Brumfield","Home Office","United States","Providence","Rhode Island","2908","East"
"TC-21535","Tracy Collins","Home Office","United States","Columbus","Ohio","43229","East"
"DB-13405","Denny Blanton","Consumer","United States","Lawrence","Massachusetts","1841","East"
"DM-13345","Denise Monton","Corporate","United States","Rochester","New York","14609","East"
"LD-17005","Lisa DeCherney","Consumer","United States","Detroit","Michigan","48234","Central"
"ND-18370","Natalie DeCherney","Consumer","United States","Glendale","Arizona","85301","West"
"DW-13195","David Wiener","Corporate","United States","Los Angeles","California","90045","West"
"KM-16720","Kunst Miller","Consumer","United States","New York City","New York","10035","East"
"JK-15640","Jim Kriz","Home Office","United States","Philadelphia","Pennsylvania","19120","East"
"VG-21790","Vivek Gonzalez","Consumer","United States","Seattle","Washington","98103","West"
"JK-16120","Julie Kriz","Home Office","United States","New York City","New York","10009","East"
"SE-20110","Sanjit Engle","Consumer","United States","San Jose","California","95123","West"
"NW-18400","Natalie Webber","Consumer","United States","Mobile","Alabama","36608","South"
"SS-20140","Saphhira Shifley","Corporate","United States","Pompano Beach","Florida","33068","South"
"AA-10375","Allen Armold","Consumer","United States","Lebanon","Tennessee","37087","South"
"LS-17245","Lynn Smith","Consumer","United States","Jacksonville","North Carolina","28540","South"
"KB-16600","Ken Brennan","Corporate","United States","Grand Rapids","Michigan","49505","Central"
"JD-15790","John Dryer","Consumer","United States","Jacksonville","Florida","32216","South"
"GG-14650","Greg Guthrie","Corporate","United States","Columbus","Ohio","43229","East"
"BC-11125","Becky Castell","Home Office","United States","New York City","New York","10011","East"
"PP-18955","Paul Prost","Home Office","United States","New York City","New York","10009","East"
"JE-15610","Jim Epp","Corporate","United States","Concord","New Hampshire","3301","East"
"TS-21505","Tony Sayre","Consumer","United States","Columbia","Tennessee","38401","South"
"LP-17095","Liz Preis","Consumer","United States","Phoenix","Arizona","85023","West"
"TC-21295","Toby Carlisle","Consumer","United States","San Diego","California","92024","West"
"GB-14530","George Bell","Corporate","United States","Florence","South Carolina","29501","South"
"SP-20860","Sung Pak","Corporate","United States","Dallas","Texas","75217","Central"
"JM-15265","Janet Molinari","Corporate","United States","Canton","Michigan","48187","Central"
"TP-21415","Tom Prescott","Consumer","United States","Dallas","Texas","75081","Central"
"SH-20395","Shahid Hopkins","Consumer","United States","Arlington","Virginia","22204","South"
"MJ-17740","Max Jones","Consumer","United States","Seattle","Washington","98115","West"
"PF-19120","Peter Fuller","Consumer","United States","San Antonio","Texas","78207","Central"
"BH-11710","Brosina Hoffman","Consumer","United States","Newark","Delaware","19711","East"
"DR-12880","Dan Reichenbach","Corporate","United States","Chicago","Illinois","60623","Central"
"CK-12325","Christine Kargatis","Home Office","United States","Hot Springs","Arkansas","71901","South"
"JH-15820","John Huston","Consumer","United States","Chicago","Illinois","60610","Central"
"CK-12205","Chloris Kastensmidt","Consumer","United States","Santa Clara","California","95051","West"
"ND-18370","Natalie DeCherney","Consumer","United States","Houston","Texas","77095","Central"
"EB-13840","Ellis Ballard","Corporate","United States","New York City","New York","10035","East"
"VT-21700","Valerie Takahito","Home Office","United States","Philadelphia","Pennsylvania","19143","East"
"SN-20710","Steve Nguyen","Home Office","United States","Pasadena","Texas","77506","Central"
"SJ-20125","Sanjit Jacobs","Home Office","United States","Chicago","Illinois","60610","Central"
"JL-15835","John Lee","Consumer","United States","Philadelphia","Pennsylvania","19120","East"
"GK-14620","Grace Kelly","Corporate","United States","Dallas","Texas","75217","Central"
"MH-17620","Matt Hagelstein","Corporate","United States","San Francisco","California","94110","West"
"RD-19585","Rob Dowd","Consumer","United States","Plano","Texas","75023","Central"
"LW-16990","Lindsay Williams","Corporate","United States","San Francisco","California","94110","West"
"JE-15745","Joel Eaton","Consumer","United States","San Jose","California","95123","West"
"TS-21610","Troy Staebel","Consumer","United States","Springfield","Ohio","45503","East"
"HW-14935","Helen Wasserman","Corporate","United States","Detroit","Michigan","48205","Central"
"CC-12670","Craig Carreira","Consumer","United States","Los Angeles","California","90032","West"
"AS-10630","Ann Steele","Home Office","United States","Seattle","Washington","98103","West"
"MM-17260","Magdelene Morse","Consumer","United States","Seattle","Washington","98105","West"
"DG-13300","Deirdre Greer","Corporate","United States","Seattle","Washington","98105","West"
"EM-14140","Eugene Moren","Home Office","United States","Glendale","Arizona","85301","West"
"AW-10930","Arthur Wiediger","Home Office","United States","Oklahoma City","Oklahoma","73120","Central"
"DC-12850","Dan Campbell","Consumer","United States","Florence","Alabama","35630","South"
"NH-18610","Nicole Hansen","Corporate","United States","Detroit","Michigan","48227","Central"
"TD-20995","Tamara Dahlen","Consumer","United States","Virginia Beach","Virginia","23464","South"
"RB-19705","Roger Barcio","Home Office","United States","Portland","Oregon","97206","West"
"NP-18670","Nora Paige","Consumer","United States","Lakewood","New Jersey","8701","East"
"DL-12925","Daniel Lacy","Consumer","United States","Long Beach","New York","11561","East"
"KL-16645","Ken Lonsdale","Consumer","United States","Dublin","California","94568","West"
"AG-10900","Arthur Gainer","Consumer","United States","Chicago","Illinois","60623","Central"
"SC-20095","Sanjit Chand","Consumer","United States","Fayetteville","Arkansas","72701","South"
"LC-16870","Lena Cacioppo","Consumer","United States","Aurora","Colorado","80013","West"
"HR-14830","Harold Ryan","Corporate","United States","Gilbert","Arizona","85234","West"
"SZ-20035","Sam Zeldin","Home Office","United States","Grand Prairie","Texas","75051","Central"
"AR-10540","Andy Reiter","Consumer","United States","Woonsocket","Rhode Island","2895","East"
"CA-12265","Christina Anderson","Consumer","United States","New York City","New York","10024","East"
"JK-16120","Julie Kriz","Home Office","United States","Eagan","Minnesota","55122","Central"
"RA-19885","Ruben Ausman","Corporate","United States","Jacksonville","Florida","32216","South"
"PW-19240","Pierre Wener","Consumer","United States","Houston","Texas","77036","Central"
"HA-14920","Helen Andreada","Consumer","United States","Laredo","Texas","78041","Central"
"FM-14380","Fred McMath","Consumer","United States","Detroit","Michigan","48227","Central"
"MS-17830","Melanie Seite","Consumer","United States","Laredo","Texas","78041","Central"
"DK-13225","Dean Katz","Corporate","United States","Rochester","New York","14609","East"
"SH-20635","Stefanie Holloman","Corporate","United States","Sacramento","California","95823","West"
"FG-14260","Frank Gastineau","Home Office","United States","Aurora","Illinois","60505","Central"
"CP-12340","Christine Phan","Corporate","United States","Los Angeles","California","90049","West"
"MB-17305","Maria Bertelson","Consumer","United States","Longview","Washington","98632","West"
"BF-11170","Ben Ferrer","Home Office","United States","Sacramento","California","95823","West"
"SS-20410","Shahid Shariari","Consumer","United States","Oswego","Illinois","60543","Central"
"LW-17125","Liz Willingham","Consumer","United States","Virginia Beach","Virginia","23464","South"
"DH-13675","Duane Huffman","Home Office","United States","Miami","Florida","33180","South"
"PN-18775","Parhena Norris","Home Office","United States","New York City","New York","10011","East"
"JK-15730","Joe Kamberova","Consumer","United States","Houston","Texas","77036","Central"
"JP-15520","Jeremy Pistek","Consumer","United States","Davis","California","95616","West"
"JS-15595","Jill Stevenson","Corporate","United States","Los Angeles","California","90045","West"
"KM-16660","Khloe Miller","Consumer","United States","Roswell","Georgia","30076","South"
"SF-20200","Sarah Foster","Consumer","United States","New Castle","Indiana","47362","Central"
"JP-16135","Julie Prescott","Home Office","United States","Muskogee","Oklahoma","74403","Central"
"EM-13825","Elizabeth Moffitt","Corporate","United States","Sioux Falls","South Dakota","57103","Central"
"DB-13660","Duane Benoit","Consumer","United States","Middletown","Connecticut","6457","East"
"CC-12430","Chuck Clark","Home Office","United States","New York City","New York","10009","East"
"KW-16435","Katrina Willman","Consumer","United States","Austin","Texas","78745","Central"
"BD-11560","Brendan Dodson","Home Office","United States","Fresno","California","93727","West"
"SC-20725","Steven Cartwright","Consumer","United States","San Francisco","California","94122","West"
"SV-20365","Seth Vernon","Consumer","United States","Columbus","Ohio","43229","East"
"HR-14830","Harold Ryan","Corporate","United States","Seattle","Washington","98103","West"
"GH-14410","Gary Hansen","Home Office","United States","Yuma","Arizona","85364","West"
"SW-20455","Shaun Weien","Consumer","United States","Suffolk","Virginia","23434","South"
"JD-16150","Justin Deggeller","Corporate","United States","Milwaukee","Wisconsin","53209","Central"
"HG-15025","Hunter Glantz","Consumer","United States","Amarillo","Texas","79109","Central"
"JK-15625","Jim Karlsson","Consumer","United States","New York City","New York","10024","East"
"ND-18370","Natalie DeCherney","Consumer","United States","Long Beach","New York","11561","East"
"CC-12220","Chris Cortes","Consumer","United States","San Antonio","Texas","78207","Central"
"SC-20725","Steven Cartwright","Consumer","United States","Houston","Texas","77070","Central"
"GM-14455","Gary Mitchum","Home Office","United States","Chicago","Illinois","60653","Central"
"SS-20875","Sung Shariari","Consumer","United States","Leominster","Massachusetts","1453","East"
"JE-15475","Jeremy Ellison","Consumer","United States","New Rochelle","New York","10801","East"
"TD-20995","Tamara Dahlen","Consumer","United States","Quincy","Illinois","62301","Central"
"LC-16960","Lindsay Castell","Home Office","United States","New York City","New York","10024","East"
"DN-13690","Duane Noonan","Consumer","United States","Seattle","Washington","98115","West"
"JL-15850","John Lucas","Consumer","United States","Philadelphia","Pennsylvania","19134","East"
"JK-15370","Jay Kimmel","Consumer","United States","Miami","Florida","33180","South"
"DC-12850","Dan Campbell","Consumer","United States","New York City","New York","10011","East"
"AS-10285","Alejandro Savely","Corporate","United States","Seattle","Washington","98103","West"
"BT-11530","Bradley Talbott","Home Office","United States","Los Angeles","California","90036","West"
"JL-15235","Janet Lee","Consumer","United States","Los Angeles","California","90049","West"
"TS-21430","Tom Stivers","Corporate","United States","Oklahoma City","Oklahoma","73120","Central"
"IL-15100","Ivan Liston","Consumer","United States","Columbus","Ohio","43229","East"
"CC-12220","Chris Cortes","Consumer","United States","Seattle","Washington","98105","West"
"RP-19390","Resi Pölking","Consumer","United States","Phoenix","Arizona","85023","West"
"SZ-20035","Sam Zeldin","Home Office","United States","Columbus","Indiana","47201","Central"
"SE-20110","Sanjit Engle","Consumer","United States","Oxnard","California","93030","West"
"TP-21130","Theone Pippenger","Consumer","United States","Georgetown","Kentucky","40324","South"
"CS-11845","Cari Sayre","Corporate","United States","Houston","Texas","77070","Central"
"NF-18595","Nicole Fjeld","Home Office","United States","Chico","California","95928","West"
"GM-14500","Gene McClure","Consumer","United States","Pharr","Texas","78577","Central"
"PM-19135","Peter McVee","Home Office","United States","Detroit","Michigan","48227","Central"
"FM-14215","Filia McAdams","Corporate","United States","Greensboro","North Carolina","27405","South"
"YS-21880","Yana Sorensen","Corporate","United States","Seattle","Washington","98103","West"
"PB-19210","Phillip Breyer","Corporate","United States","Tulsa","Oklahoma","74133","Central"
"LT-17110","Liz Thompson","Consumer","United States","San Diego","California","92105","West"
"RF-19840","Roy Französisch","Consumer","United States","Pasadena","California","91104","West"
"GT-14635","Grant Thornton","Corporate","United States","Long Beach","New York","11561","East"
"AH-10030","Aaron Hawkins","Corporate","United States","San Francisco","California","94109","West"
"AJ-10945","Ashley Jarboe","Consumer","United States","Wilmington","North Carolina","28403","South"
"BD-11620","Brian DeCherney","Consumer","United States","Wilmington","North Carolina","28403","South"
"DB-13615","Doug Bickford","Consumer","United States","Tucson","Arizona","85705","West"
"TS-21205","Thomas Seio","Corporate","United States","San Francisco","California","94109","West"
"BD-11320","Bill Donatelli","Consumer","United States","San Francisco","California","94110","West"
"SC-20770","Stewart Carmichael","Corporate","United States","San Antonio","Texas","78207","Central"
"SJ-20125","Sanjit Jacobs","Home Office","United States","Long Beach","California","90805","West"
"JH-15985","Joseph Holt","Consumer","United States","Seattle","Washington","98115","West"
"AS-10285","Alejandro Savely","Corporate","United States","Philadelphia","Pennsylvania","19134","East"
"NP-18325","Naresj Patel","Consumer","United States","San Diego","California","92024","West"
"DM-13015","Darrin Martin","Consumer","United States","New York City","New York","10009","East"
"HD-14785","Harold Dahlen","Home Office","United States","Philadelphia","Pennsylvania","19143","East"
"JS-16030","Joy Smith","Consumer","United States","Hattiesburg","Mississippi","39401","South"
"RR-19525","Rick Reed","Corporate","United States","Overland Park","Kansas","66212","Central"
"SM-20950","Suzanne McNair","Corporate","United States","Fairfield","Connecticut","6824","East"
"AT-10735","Annie Thurman","Consumer","United States","Morristown","New Jersey","7960","East"
"NM-18445","Nathan Mautz","Home Office","United States","Wichita","Kansas","67212","Central"
"ZD-21925","Zuschuss Donatelli","Consumer","United States","Richmond","Indiana","47374","Central"
"EH-13945","Eric Hoffmann","Consumer","United States","Tempe","Arizona","85281","West"
"JK-16120","Julie Kriz","Home Office","United States","San Diego","California","92105","West"
"RS-19420","Ricardo Sperren","Corporate","United States","Suffolk","Virginia","23434","South"
"BS-11380","Bill Stewart","Corporate","United States","Denver","Colorado","80219","West"
